query_id,doc_id,grade_gpt,grade_deepseek,adjudicated_grade,flag
cv_01,job_02,0,0,0,
cv_01,job_03,0,0,0,
cv_01,job_04,1,2,2,
cv_01,job_05,0,0,0,
cv_01,job_06,1,3,1,disagree>=2
cv_01,job_08,0,0,0,
cv_01,job_09,0,0,0,
cv_01,job_10,0,0,0,
cv_01,job_11,0,0,0,
cv_01,job_12,0,0,0,
cv_01,job_13,0,0,0,
cv_01,job_14,0,0,0,
cv_01,job_15,0,0,0,
cv_02,job_01,0,0,0,
cv_02,job_03,0,0,0,
cv_02,job_04,0,0,0,
cv_02,job_05,0,0,0,
cv_02,job_06,0,0,0,
cv_02,job_07,0,0,0,
cv_02,job_08,1,2,2,
cv_02,job_09,0,0,0,
cv_02,job_10,0,0,0,
cv_02,job_11,0,0,0,
cv_02,job_12,0,0,0,
cv_02,job_14,0,0,0,
cv_02,job_15,0,0,0,
cv_03,job_01,0,0,0,
cv_03,job_02,0,0,0,
cv_03,job_04,0,0,0,
cv_03,job_05,0,0,0,
cv_03,job_06,0,0,0,
cv_03,job_07,0,0,0,
cv_03,job_08,0,0,0,
cv_03,job_09,0,0,0,
cv_03,job_10,0,0,0,
cv_03,job_11,0,0,0,
cv_03,job_12,0,0,0,
cv_03,job_13,0,0,0,
cv_03,job_15,0,0,0,
cv_04,job_01,1,1,1,
cv_04,job_02,0,0,0,
cv_04,job_03,0,0,0,
cv_04,job_05,0,0,0,
cv_04,job_06,0,1,0,
cv_04,job_07,0,0,0,
cv_04,job_08,0,0,0,
cv_04,job_09,0,0,0,
cv_04,job_10,0,0,0,
cv_04,job_11,0,0,0,
cv_04,job_12,0,0,0,
cv_04,job_13,0,0,0,
cv_04,job_14,0,0,0,
cv_05,job_01,0,0,0,
cv_05,job_02,0,0,0,
cv_05,job_03,0,0,0,
cv_05,job_04,0,0,0,
cv_05,job_06,0,0,0,
cv_05,job_08,0,0,0,
cv_05,job_09,0,0,0,
cv_05,job_10,0,0,0,
cv_05,job_11,0,0,0,
cv_05,job_12,0,0,0,
cv_05,job_13,0,0,0,
cv_05,job_14,0,0,0,
cv_05,job_15,0,0,0,
