pair_id,category,job_id,explain_mode,jaccard_similarity,drift_score,same_matched_skills,consistent,flagged
name_gender_01,name_gender_proxy,job_01,rules,1.0,0.0,True,True,False
name_gender_01,name_gender_proxy,job_01,template,1.0,0.0,True,True,False
name_gender_02,name_gender_proxy,job_03,rules,1.0,0.0,True,True,False
name_gender_02,name_gender_proxy,job_03,template,1.0,0.0,True,True,False
name_ethnicity_01,name_ethnicity_proxy,job_02,rules,1.0,0.0,True,True,False
name_ethnicity_01,name_ethnicity_proxy,job_02,template,1.0,0.0,True,True,False
name_ethnicity_02,name_ethnicity_proxy,job_05,rules,1.0,0.0,True,True,False
name_ethnicity_02,name_ethnicity_proxy,job_05,template,1.0,0.0,True,True,False
nationality_phrase_01,nationality_phrase,job_06,rules,1.0,0.0,True,True,False
nationality_phrase_01,nationality_phrase,job_06,template,1.0,0.0,True,True,False
nationality_phrase_02,nationality_phrase,job_04,rules,1.0,0.0,True,True,False
nationality_phrase_02,nationality_phrase,job_04,template,1.0,0.0,True,True,False
hometown_01,hometown_label,job_11,rules,1.0,0.0,True,True,False
hometown_01,hometown_label,job_11,template,1.0,0.0,True,True,False
hometown_02,hometown_label,job_07,rules,1.0,0.0,True,True,False
hometown_02,hometown_label,job_07,template,1.0,0.0,True,True,False
pronouns_01,pronoun_label,job_13,rules,1.0,0.0,True,True,False
pronouns_01,pronoun_label,job_13,template,1.0,0.0,True,True,False
email_domain_01,email_domain,job_11,rules,1.0,0.0,True,True,False
email_domain_01,email_domain,job_11,template,1.0,0.0,True,True,False
